country_code,total_revenues_1995,total_revenues_1996,total_revenues_1997,total_revenues_1998,total_revenues_1999,total_revenues_2000,total_revenues_2001,total_revenues_2002,total_revenues_2003,total_revenues_2004,total_revenues_2005,total_revenues_2006,total_revenues_2007,total_revenues_2008,total_revenues_2009,total_revenues_2010,total_revenues_2011,total_revenues_2012,total_revenues_2013,total_revenues_2014,total_revenues_2015,total_revenues_2016,total_revenues_2017,total_revenues_2018,total_revenues_2019
HIC,376159000000.0,397313000000.0,399449000000.0,403696000000.0,409310000000.0,413850000000.0,395253000000.0,402756000000.0,441281000000.0,514762000000.0,552337000000.0,590023000000.0,673601000000.0,746173000000.0,679609000000.0,753451000000.0,856043000000.0,891503000000.0,959871000000.0,1019490000000.0,982192000000.0,1008640000000.0,1075910000000.0,1159430000000.0,1175660000000.0
HND,85000000.0,119000000.0,152000000.0,175000000.0,214000000.0,263000000.0,260000000.0,305000000.0,372000000.0,420000000.0,465000000.0,515700012.2,546599975.6,619799987.8,616099975.6,626700012.2,641500000.0,683700012.2,618000000.0,706000000.0,671000000.0,585000000.0,610000000.0,601000000.0,556000000.0
HUN,2938000000.0,3589000000.0,3824000000.0,3688000000.0,3622000000.0,3809000000.0,4191000000.0,3774000000.0,4119000000.0,4009000000.0,4761000000.0,4998000000.0,5628000000.0,7533000000.0,7013000000.0,6595000000.0,7239000000.0,6149000000.0,6671000000.0,7483000000.0,6929000000.0,7481000000.0,8448000000.0,9618000000.0,10196000000.0
IDB,2589013734.0,2849949347.0,3362724324.0,3299032274.0,3261248855.0,2521731525.0,2525170641.0,2639091346.0,2978059179.0,3561998662.0,4048240447.0,4733717138.0,5486815215.0,6258638169.0,5318536747.0,5930037903.0,6800880348.0,6827004089.0,6813289127.0,7785388432.0,7348602470.0,7705317502.0,9887744952.0,10359836269.0,10372106595.0
ISR,3491000000.0,3506000000.0,3740000000.0,3598000000.0,4800000000.0,4611000000.0,2854000000.0,2426000000.0,2473000000.0,2908000000.0,3750000000.0,3736000000.0,4325000000.0,5401000000.0,4937000000.0,5638000000.0,5886000000.0,6183000000.0,6600000000.0,6616000000.0,6605000000.0,6616000000.0,7602000000.0,8048000000.0,8438000000.0
JOR,973000000.0,1026000000.0,1063000000.0,1083000000.0,1016000000.0,935000000.0,884000000.0,1254000000.0,1266000000.0,1621000000.0,1759000000.0,2426000000.0,2754000000.0,3539000000.0,3472000000.0,4390000000.0,4351000000.0,5123000000.0,5145000000.0,5518000000.0,4968000000.0,4943000000.0,5549000000.0,6221000000.0,6864000000.0
JPN,4894000000.0,5775000000.0,6175000000.0,5664000000.0,5715000000.0,5970000000.0,5750000000.0,6069000000.0,11475000000.0,14343000000.0,15554000000.0,11490000000.0,12422000000.0,13781000000.0,12537000000.0,15356000000.0,12533000000.0,16197000000.0,16865000000.0,20790000000.0,27285000000.0,33456000000.0,36978000000.0,45276000000.0,49206000000.0
KAZ,155000000.0,258000000.0,350000000.0,454000000.0,394000000.0,403000000.0,502000000.0,680000000.0,638000000.0,803000000.0,801000000.0,973000000.0,1214000000.0,1255000000.0,1185000000.0,1236000000.0,1524000000.0,2154000000.0,2365000000.0,2239000000.0,1833000000.0,2038000000.0,2356000000.0,2651000000.0,2922000000.0
KEN,785000000.0,823000000.0,1077000000.0,1213000000.0,1211000000.0,500000000.0,536000000.0,513000000.0,619000000.0,799000000.0,969000000.0,1181000000.0,1514000000.0,1398000000.0,1124000000.0,1620000000.0,1844000000.0,2004000000.0,1829000000.0,1745000000.0,1596000000.0,1472000000.0,1564000000.0,1784000000.0,1762000000.0
KHM,71000000.0,117000000.0,99000000.0,129000000.0,240000000.0,345000000.0,429000000.0,509000000.0,441000000.0,673000000.0,929000000.0,1109000000.0,1169000000.0,1280000000.0,1463000000.0,1671000000.0,2258000000.0,2663000000.0,2895000000.0,3220000000.0,3419000000.0,3523000000.0,4024000000.0,4832000000.0,5312000000.0
KOR,6670000000.0,6350000000.0,6317000000.0,8263000000.0,8337000000.0,8527000000.0,7917000000.0,7617000000.0,7002000000.0,8222000000.0,8282000000.0,8437000000.0,9253000000.0,13440000000.0,13262000000.0,14315000000.0,17329000000.0,18731000000.0,19457000000.0,22390000000.0,18711000000.0,20924000000.0,17173000000.0,23104000000.0,26217000000.0
KWT,307000000.0,389000000.0,396000000.0,456000000.0,342000000.0,394000000.0,286000000.0,320000000.0,328000000.0,398000000.0,413000000.0,508000000.0,530000000.0,610000000.0,660000000.0,574000000.0,644000000.0,780000000.0,619000000.0,615000000.0,931000000.0,831000000.0,643000000.0,919000000.0,1176000000.0
LAC,19357652321.0,21486070883.0,23098209309.0,24606110284.0,25346945968.0,27600052496.0,26963916710.0,26166988308.0,29087384192.0,33178489169.0,37879185888.0,41304065446.0,45512763248.0,49121526306.0,44448291381.0,46570394948.0,49323516428.0,52227722493.0,55594156982.0,61352272204.0,63760745805.0,67792560111.0,71606967176.0,74819705099.0,77637914660.0
LCN,27934369160.0,30617804406.0,33016573525.0,35090068145.0,36005380011.0,39230679670.0,38843763502.0,37565126479.0,41102382254.0,46784141233.0,52388766720.0,56867182590.0,62749447923.0,67161344139.0,61619754789.0,64878933663.0,69800378125.0,74997594077.0,79289405593.0,86024192662.0,89294740018.0,95050581905.0,99851063426.0,102637000000.0,105334000000.0
LKA,367000000.0,282000000.0,351000000.0,369000000.0,414000000.0,388000000.0,347000000.0,594000000.0,709000000.0,808000000.0,729000000.0,733000000.0,750000000.0,803000000.0,754000000.0,1044000000.0,1421000000.0,1756000000.0,2506000000.0,3278000000.0,3978000000.0,4591000000.0,5083000000.0,5608000000.0,4663000000.0
LMC,18200370769.0,21033408269.0,23488432435.0,22111913058.0,27012119576.0,25570082746.0,25680410355.0,26783060497.0,30952641555.0,41100307810.0,48253915817.0,56810880826.0,71003811634.0,76653338725.0,67521212619.0,75828761426.0,77198982277.0,85755155611.0,85688515230.0,89466822669.0,86138138402.0,86359512964.0,105831000000.0,117899000000.0,129445000000.0
MAC,3233000000.0,3085000000.0,2876000000.0,2648000000.0,2598000000.0,3205000000.0,3745000000.0,4428000000.0,5225000000.0,7431000000.0,7181000000.0,8482000000.0,11198000000.0,13749000000.0,15182000000.0,22688000000.0,31118000000.0,36521000000.0,43665000000.0,43303000000.0,31500000000.0,31015000000.0,36436000000.0,41309000000.0,39714000000.0
MAR,1469000000.0,1857000000.0,1649000000.0,1934000000.0,2177000000.0,2280000000.0,2966000000.0,3157000000.0,3802000000.0,4540000000.0,5426000000.0,6900000000.0,8307000000.0,8885000000.0,7980000000.0,8176000000.0,9101000000.0,8491000000.0,8201000000.0,9070000000.0,7765000000.0,7922000000.0,9086000000.0,9520000000.0,10013000000.0
MDA,71000000.0,50000000.0,74000000.0,64000000.0,49000000.0,57000000.0,58000000.0,72000000.0,79000000.0,112000000.0,138000000.0,150000000.0,229000000.0,293000000.0,240000000.0,222000000.0,253000000.0,279000000.0,324000000.0,328000000.0,300000000.0,344000000.0,443000000.0,500000000.0,532000000.0
MDG,106000000.0,102000000.0,110000000.0,136000000.0,137000000.0,152000000.0,149000000.0,109000000.0,119000000.0,239000000.0,275000000.0,382000000.0,395000000.0,440000000.0,328000000.0,425000000.0,507000000.0,596000000.0,609000000.0,740000000.0,696000000.0,912000000.0,849000000.0,879000000.0,951500000.0
MEA,23782467025.0,25829013622.0,27320445719.0,27622704395.0,31630444226.0,31868425757.0,30372658677.0,31799947201.0,34511332936.0,40141907931.0,46062146838.0,52491053576.0,62724485072.0,70750780660.0,71045059877.0,82137038291.0,73006275784.0,80046706579.0,79875627606.0,89412429569.0,93222984235.0,95180853657.0,111853000000.0,120058000000.0,148005000000.0
MEX,6847000000.0,7531000000.0,8184000000.0,8307000000.0,8135000000.0,9133000000.0,9190000000.0,9547000000.0,10058000000.0,11609000000.0,12801000000.0,13329000000.0,14055000000.0,14726000000.0,12542000000.0,12628000000.0,12458000000.0,13320000000.0,14311000000.0,16606000000.0,18729000000.0,20619000000.0,22467000000.0,23802000000.0,25847000000.0
MMR,169000000.0,215000000.0,183000000.0,196000000.0,222000000.0,195000000.0,132000000.0,136000000.0,70000000.0,97000000.0,83000000.0,59000000.0,97000000.0,80000000.0,75000000.0,91000000.0,334000000.0,550000000.0,964000000.0,1687000000.0,2199000000.0,2289000000.0,1988000000.0,1670000000.0,2501000000.0
MNG,33000000.0,20000000.0,25000000.0,47000000.0,43000000.0,43000000.0,49000000.0,143000000.0,154000000.0,205000000.0,203000000.0,261000000.0,349000000.0,272000000.0,253000000.0,288000000.0,197000000.0,215000000.0,236000000.0,257000000.0,279000000.0,379000000.0,462000000.0,526000000.0,605000000.0
MUS,616000000.0,705000000.0,666000000.0,672000000.0,718000000.0,732000000.0,820000000.0,829000000.0,960000000.0,1156000000.0,1189000000.0,1302000000.0,1663000000.0,1823000000.0,1390000000.0,1585000000.0,1808000000.0,1778000000.0,1593000000.0,1719000000.0,1680000000.0,1824000000.0,2005000000.0,2161000000.0,2024000000.0
MWI,22000000.0,31000000.0,32000000.0,25000000.0,42000000.0,29000000.0,40000000.0,45000000.0,66000000.0,75000000.0,48000000.0,45000000.0,43000000.0,43000000.0,46000000.0,45000000.0,36000000.0,35000000.0,33000000.0,36000000.0,39000000.0,30000000.0,35000000.0,43000000.0,47000000.0
MYS,5044000000.0,5732000000.0,4925000000.0,3237000000.0,4403000000.0,5873000000.0,7627000000.0,8084000000.0,6799000000.0,9183000000.0,10389000000.0,12280000000.0,17948000000.0,18553000000.0,17231000000.0,19619000000.0,21338000000.0,21711000000.0,23283000000.0,24469000000.0,19194000000.0,19682000000.0,20311000000.0,21775000000.0,22199000000.0
NAC,102920000000.0,112270000000.0,117438000000.0,116145000000.0,121213000000.0,131352000000.0,118135000000.0,110160000000.0,107051000000.0,122346000000.0,132574000000.0,137868000000.0,152763000000.0,167285000000.0,152692000000.0,180263000000.0,199429000000.0,217352000000.0,237348000000.0,248018000000.0,256678000000.0,254506000000.0,257447000000.0,264863000000.0,260143000000.0
NGA,47000000.0,58000000.0,83000000.0,81000000.0,99000000.0,186000000.0,168000000.0,256000000.0,58000000.0,49000000.0,139000000.0,209000000.0,337000000.0,958000000.0,791000000.0,736000000.0,688000000.0,638000000.0,616000000.0,605000000.0,461000000.0,1088000000.0,2615000000.0,1977000000.0,1471000000.0
NOR,2730000000.0,2770000000.0,2570000000.0,2545000000.0,2750000000.0,2521000000.0,2380000000.0,2581000000.0,2989000000.0,3531000000.0,4243000000.0,4289000000.0,5322000000.0,5702000000.0,4949000000.0,5299000000.0,6565000000.0,6784000000.0,7175000000.0,7503000000.0,6370000000.0,6285000000.0,6840000000.0,7096000000.0,6929000000.0
NPL,232000000.0,237000000.0,201000000.0,248000000.0,229000000.0,219000000.0,191000000.0,134000000.0,232000000.0,260000000.0,160000000.0,157000000.0,234000000.0,353000000.0,439000000.0,378000000.0,415000000.0,379000000.0,460000000.0,511000000.0,509000000.0,498000000.0,712000000.0,744000000.0,803000000.0
OED,360051000000.0,382168000000.0,386137000000.0,392293000000.0,396044000000.0,398228000000.0,377208000000.0,381913000000.0,420500000000.0,487530000000.0,520022000000.0,546779000000.0,620091000000.0,686911000000.0,621331000000.0,666905000000.0,743339000000.0,762361000000.0,818664000000.0,868929000000.0,844873000000.0,857561000000.0,915919000000.0,992277000000.0,1003910000000.0
PAK,582000000.0,590000000.0,618000000.0,556000000.0,492000000.0,551000000.0,533000000.0,562000000.0,620000000.0,765000000.0,828000000.0,919000000.0,912000000.0,986000000.0,950000000.0,998000000.0,1127000000.0,1014000000.0,938000000.0,971000000.0,915000000.0,790000000.0,865000000.0,845000000.0,948000000.0
PAN,372000000.0,432000000.0,471000000.0,492000000.0,506000000.0,628000000.0,665000000.0,710000000.0,804000000.0,903000000.0,1108000000.0,1425000000.0,1806000000.0,2208000000.0,2280000000.0,2621000000.0,3630000000.0,4585000000.0,5419000000.0,5749000000.0,5754000000.0,6283000000.0,6827000000.0,7139000000.0,7052000000.0
PER,521000000.0,773000000.0,911000000.0,947000000.0,911000000.0,861000000.0,763000000.0,836000000.0,1023000000.0,1232000000.0,1438000000.0,1775000000.0,2007000000.0,2396000000.0,2440000000.0,2475000000.0,2814000000.0,3074000000.0,3916000000.0,3907000000.0,4140000000.0,4288000000.0,4573000000.0,4504000000.0,4784000000.0
